"983,\"Call of Juarez Trailer\",\"unknown\""
"984,\"Bioshock Trailer\",\"unknown\""
"985,\"Team Fortress 2: Meet The Soldier\",\"unknown\""
"986,\"Race07 Trailer\",\"unknown\""
"987,\"Team Fortress 2: Meet The Engineer\",\"unknown\""
"988,\"Kane & Lynch Trailer 3\",\"unknown\""
"989,\"Juiced 2 - Hot Import Nights Trailer\",\"unknown\""
"990,\"Enemy Territory: QUAKE Wars Trailer\",\"unknown\""
"991,\"Loki Trailer\",\"unknown\""
"992,\"Company of Heroes: Opposing Fronts\",\"unknown\""
"994,\"Team Fortress 2: Meet the Heavy (Russian)\",\"unknown\""
"995,\"The Orange Box Commercial\",\"unknown\""
"996,\"Two Worlds Trailer\",\"unknown\""
"997,\"Team Fortress 2: Meet the Demoman\",\"unknown\""
"998,\"Call of Duty 4: Modern Warfare Trailer\",\"unknown\""
"999,\"Painkiller Overdose Trailer\",\"unknown\""
"1001,\"Rag Doll Kung Fu Beta\",\"unknown\""
"1002,\"Rag Doll Kung Fu\",\"unknown\""
"1003,\"Rag Doll Kung Fu Demo\",\"unknown\""
"1007,\"Steamworks SDK Redist\",\"released\""
"1200,\"Red Orchestra: Ostfront 41-45\",\"unknown\""
"1210,\"Red Orchestra Beta\",\"unknown\""
"1213,\"Red Orchestra: Ostfront 41-45\",\"unknown\""
"1220,\"RedOrchestra SDK Beta\",\"unknown\""
"1230,\"Mare Nostrum\",\"unknown\""
"1240,\"Mare Nostrum Dedicated Server\",\"unknown\""
"1250,\"Killing Floor\",\"unknown\""
"1255,\"Killing Floor DLC 1\",\"unknown\""
"1256,\"Killing Floor - Outbreak Character Pack\",\"unknown\""
"1257,\"Killing Floor - Nightfall Character Pack\",\"unknown\""
"1259,\"Killing Floor\",\"unknown\""
"1260,\"Killing Floor SDK\",\"unknown\""
"1270,\"Killing Floor Beta\",\"unknown\""
"1273,\"Killing Floor Beta Dedicated Server\",\"unknown\""
"1280,\"Darkest Hour: Europe '44-'45\",\"unknown\""
"1290,\"Darkest Hour: Europe '44-'45 Dedicated Server\",\"unknown\""
"1300,\"SiN Episodes: Emergence\",\"unknown\""
"1306,\"SiN Episodes: Emergence German\",\"unknown\""
"1309,\"SiN Multiplayer\",\"unknown\""
"1313,\"SiN\",\"unknown\""
"1317,\"Sin Episodes SDK\",\"unknown\""
"1320,\"SiN Episodes: Emergence\",\"unknown\""
"1500,\"Darwinia\",\"unknown\""
"1502,\"Darwinia Demo\",\"unknown\""
"1504,\"Darwinia Press Review\",\"unknown\""
"1507,\"ValveTestApp1507-do-not-use\",\"unknown\""
"1510,\"Uplink\",\"unknown\""
"1520,\"DEFCON\",\"unknown\""
"1522,\"DEFCON Demo\",\"unknown\""
"1523,\"DEFCON Beta Demo\",\"unknown\""
"1525,\"DEFCON Beta\",\"unknown\""
"1528,\"ValveTestApp1528-do-not-use\",\"unknown\""
"1530,\"Multiwinia\",\"unknown\""
"1532,\"ValveTestApp1532\",\"unknown\""
"1535,\"DEFCON Soundtrack DLC\",\"unknown\""
"1540,\"Multiwinia Demo\",\"unknown\""
"1600,\"Dangerous Waters\",\"unknown\""
"1610,\"Space Empires IV Deluxe\",\"unknown\""
"1620,\"Jagged Alliance 2\",\"unknown\""
"1630,\"Disciples II: Rise of the Elves\",\"unknown\""
"1635,\"Disciples II ROTE Scenario Editor\",\"unknown\""
"1640,\"Disciples II: Gallean's Return\",\"unknown\""
"1645,\"Disciples II Galleans Return Scenario Editor\",\"unknown\""
"1670,\"Iron Warriors: T-72 Tank Command\",\"unknown\""
"1690,\"Space Empires V\",\"unknown\""
"1700,\"Arx Fatalis\",\"unknown\""
"1710,\"Arx Fatalis Demo\",\"unknown\""
"1840,\"Source Filmmaker\",\"unknown\""
"1900,\"Earth 2160\",\"unknown\""
"1920,\"Two Worlds\",\"unknown\""
"1930,\"Two Worlds: Epic Edition\",\"unknown\""
"2100,\"Dark Messiah of Might & Magic Single Player\",\"unknown\""
